aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,dialog_id
dialog,visdial:53901,Static+Diverse 50%,0.5,10,0.0,582.7789948903956,588.3322955050971,606.5421992592746,23.273875302402303,19.48156050639227,40.103442687541204,606.0528701927979,608.4267334954347,640.4444902902469,625.737728,6257.37728,22.36435110680759,93.48583407117985,56.94290728424676,0.4829931972789116,0.4829931972789116,0.5074404761904762,101.2,2352.0,2486.5,1.233125376,0.625737728,5.292396032,6.728662272,2.1596319744,visdial:53901
dialog,visdial:545142,FullLoad,1.0,10,0.3,664.1030196973588,656.7708429938648,725.5303365061991,31.24598368885927,24.183402972994372,58.31159940280484,695.3490033862181,687.9863804788329,757.1403776470106,1124.073472,11240.73472,0.0,,,1.0,1.0,1.0,98.1,2144.0,2275.9,1.124073472,1.124073472,5.183344128,6.50122624,2.1253267456,visdial:545142
dialog,visdial:545142,ReComp,,10,0.3,500.40795669774525,502.7026144962292,515.2297967928462,22.6475978968665,19.031404517591,39.05606467742469,523.0555545946117,523.2348694989923,542.2645212005591,0.0,0.0,0.0,0.0,500.40773750515655,,,,98.1,2144.0,2275.9,1.124073472,0.0,5.070674636800001,8.0333218304,2.1253267456,visdial:545142
dialog,visdial:545142,SparseVLM 25%,0.25,10,0.3,720.4015027964488,728.4702259930782,766.2077033513924,38.4732770093251,37.15148297487758,65.25953412055966,758.8747798057739,762.9197275091428,815.7669935026206,887.2001536,8872.001536,,,,0.2462686567164179,0.2462686567164179,0.7423973880597015,98.1,2144.0,2275.9,1.124073472,0.8345092096000001,5.183344128,6.5023305728,2.1264277504,visdial:545142
dialog,visdial:545142,Static+Diverse 25%,0.25,10,0.3,332.3649093043059,339.62288752081804,349.69737245410215,23.134680703515187,19.36406097956933,40.232530195498796,355.4995900078211,361.7549640184734,370.9579632675741,279.445504,2794.45504,15.425596229033545,50.27418892132118,56.08171189087443,0.2388059701492537,0.2388059701492537,0.24860074626865672,98.1,2144.0,2275.9,1.124073472,0.279445504,5.183344128,6.50172288,2.1264277504,visdial:545142
dialog,visdial:545142,Static+Diverse 50%,0.5,10,0.3,561.7640688084066,567.7472250245046,587.5636398704955,23.65105029894039,19.33307500439696,43.09260254085525,585.415119107347,587.8497985249851,630.0235120521393,577.241088,5772.41088,22.260944230947644,86.3224912493024,57.10138190188445,0.4925373134328358,0.4925373134328358,0.5135261194029851,98.1,2144.0,2275.9,1.124073472,0.577241088,5.183344128,6.50162432,2.1264277504,visdial:545142
dialog,visdial:549046,FullLoad,1.0,10,0.0,654.9769110919442,651.5653759997804,716.0435646219412,41.963197611039504,21.91833351389505,129.76300575537596,696.9401087029837,694.1369099949952,758.2176624709973,1226.83392,12268.3392,0.0,,,1.0,1.0,1.0,121.8,2340.0,2497.3,1.22683392,1.22683392,5.2871048192,6.7448790528,2.0664410112000002,visdial:549046
dialog,visdial:549046,ReComp,,10,0.0,557.8159751021303,561.7896904877853,582.6634350814857,37.60635980288498,19.471835519652814,118.35093800327725,595.4223349050153,580.7372099952772,691.589209801168,0.0,0.0,0.0,0.0,557.8157469048165,,,,121.8,2340.0,2497.3,1.22683392,0.0,5.16315904,8.5915783168,2.0664410112000002,visdial:549046
dialog,visdial:549046,SparseVLM 25%,0.25,10,0.0,783.3597005985212,802.6693720021285,835.5772711482132,48.682770010782406,33.05701451608911,128.45215107081444,832.0424706093036,846.764387039002,871.0841803404037,1047.42912,10474.2912,,,,0.24615384615384617,0.24615384615384617,0.8068910256410255,121.8,2340.0,2497.3,1.22683392,0.98992128,5.286104576,6.7458816,2.082709504,visdial:549046
dialog,visdial:549046,Static+Diverse 25%,0.25,10,0.0,354.15226310142316,355.32071301713586,375.86423159227706,32.68884610151872,19.63311102008447,90.10827185120424,386.8411092029419,381.2856705044396,457.322830238263,317.652992,3176.52992,16.580674110446125,55.36606082459912,61.43595449393615,0.23461538461538461,0.23461538461538461,0.25892094017094014,121.8,2340.0,2497.3,1.22683392,0.317652992,5.2871048192,6.7456850944,2.0775911424,visdial:549046
