metric,level,dialog_id,method,budget,scenario,break_even_turn,censored_at_turn_10,stays_better_through_turn_10,better_at_turn_2,two_turn_ours_ms,two_turn_recomp_ms,two_turn_delta_ms,ten_turn_ours_ms,ten_turn_recomp_ms,ten_turn_delta_ms
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:175667,Prefix45,0.45,worst,,True,,False,2242.0629628468305,1136.3165430957451,1105.7464197510853,6024.643438518979,5811.446073115803,213.19736540317535
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:17842,Prefix25,0.25,hidden,2,False,True,True,1064.671340980567,1122.1392770530656,-57.46793607249856,3682.8327639959753,5807.870851131156,-2125.038087135181
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:17842,Prefix25,0.25,worst,7,False,True,False,2130.91714004986,1122.1392770530656,1008.7778629967943,4749.078563065268,5807.870851131156,-1058.792288065888
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:17842,Prefix45,0.45,hidden,2,False,True,True,1021.2836179416627,1122.1392770530656,-100.85565911140293,4951.487979851663,5807.870851131156,-856.382871279493
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:17842,Prefix45,0.45,worst,,True,,False,2087.5294170109555,1122.1392770530656,965.3901399578899,6017.733778920956,5807.870851131156,209.86292778979987
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:180478,Prefix25,0.25,hidden,2,False,True,True,904.0609960211441,1164.84131407924,-260.7803180580959,4035.5416900711134,6324.2156722117215,-2288.673982140608
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:180478,Prefix25,0.25,worst,6,False,True,False,2153.9947859710082,1164.84131407924,989.1534718917683,5285.475480020978,6324.2156722117215,-1038.740192190744
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:180478,Prefix45,0.45,hidden,2,False,True,True,1026.5218950808048,1164.84131407924,-138.31941899843514,5417.478184099309,6324.2156722117215,-906.7374881124124
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:180478,Prefix45,0.45,worst,,True,,False,2276.455685030669,1164.84131407924,1111.614370951429,6667.411974049173,6324.2156722117215,343.19630183745176
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:191618,Prefix25,0.25,hidden,2,False,True,True,924.8919599922374,1181.6493279766291,-256.75736798439175,3728.743149782531,5914.683678071015,-2185.9405282884836
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:191618,Prefix25,0.25,worst,7,False,True,False,2189.5334270084277,1181.6493279766291,1007.8840990317985,4993.384616798721,5914.683678071015,-921.2990612722933
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:191618,Prefix45,0.45,hidden,2,False,True,True,1075.8368300739676,1181.6493279766291,-105.81249790266156,5030.426881159656,5914.683678071015,-884.2567969113588
